sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
11,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 16:22:21",,,,,"La nature est pleine de ressources, et les huiles essentielles vous en font la démonstration. Véritables concentrés de plantes, elles dévoilent une large gamme de vertus pour se faire du bien, soigner les bobos du quotidien, se détendre ou simplement parfumer la maison. Nature & Découvertes vous invite à découvrir une gamme d’huiles essentielles 100% bio qui restitue chez vous les bienfaits de la nature.

L'huile essentielle de citron dévoile un parfum frais et des propriétés puissantes, pour la vie quotidienne et pour le bien-être :
Purifiante : en diffusion pour un effet “air pur” à la maison. Dans les produits d'entretien, l'huile essentielle de citron assainit efficacement. Dans un grog aromatique, elle détoxifie. 
Anti-stress : quelques gouttes d'huile essentielle de citron dans un diffuseur pour apporter de la sérénité.
Circulatoire : diluée dans une huile végétale, l'huile essentielle de citron s'utilise en soins cutanés pour faciliter le drainage et améliorer la micro-circulation. Opération fermeté !

Nos engagements

Comme toutes nos huiles essentielles, l'huile essentielle de citron est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation : Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux. L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes. Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.",,,0,/h/u/huille-essentielle-citron.jpg,,,,,,,,,"Use config","Use config","Huile essentielle bio de citron",,,"Block after Info Column",,8.9500,0,"Une huile essentielle bio
Pour purifier l'air, se détendre et améliorer la micro-circulation
Le plaisir d'un parfum frais d'agrume",/h/u/huille-essentielle-citron.jpg,,,,,1,0,/h/u/huille-essentielle-citron.jpg,,"2013-12-20 16:22:53",huile-essentielle-bio-de-citron,huile-essentielle-bio-de-citron.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/h/u/huille-essentielle-citron.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 16:26:35",,,,,"Cette huile essentielle bio* est idéale pour dégager les voies respiratoires et purifier l'atmosphère. À dégainer dès que l'hiver pointe le bout de son nez pour prendre une bonne bouffée d'air pur. Cette huile essentielle bio d'eucalyptus radiata possède plusieurs vertus :

Respiratoire : quelques gouttes d'huile essentielle d'eucalyptus radiata dans un diffuseur atmosphérique, en inhalation, en friction sur la poitrine ou en massage diluée dans une huile végétale, elle facilite la respiration.
Purifier : en diffusion atmosphérique, l'huile essentielle d'eucalyptus radiata purifie l’air et prévient les petits maux de l'hiver. 


Nos engagements

L'huile essentielle d'eucalyptus radiata comme toutes nos huiles essentielles est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation

Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux.

L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes.

Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.",,,0,/h/u/huille-essentielle-eucalyptus-radiata.jpg,,,,,,,,,"Use config","Use config","Huile essentielle bio eucalyptus radiata",,,"Block after Info Column",,10.9500,0,"Huile essentielle bio
Respiratoire
Purifiante",/h/u/huille-essentielle-eucalyptus-radiata.jpg,,,,,1,0,/h/u/huille-essentielle-eucalyptus-radiata.jpg,,"2013-12-20 16:26:35",huile-essentielle-bio-eucalyptus-radiata,huile-essentielle-bio-eucalyptus-radiata.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/h/u/huille-essentielle-eucalyptus-radiata.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Default,simple,"Tout pour un bain relaxant","Default Category",base,,,,"2013-12-21 21:21:04",,,,,"En Orient, l’huile d’argan est au coeur de tous les secrets de beauté. Exceptionnellement riche en antioxydants, tocophérols et oméga 6, elle protège, régénère et nourrit la peau. Extraite à Tidzi par les femmes berbères, elle est issue d’un véritable commerce solidaire.

Soin incontournable au hammam pour nettoyer, exfolier et purifier la peau, le savon noir est un soin lavant végétal à base d’huile d’olive. Enrichi en huile d’argan adoucissante et fleur d’oranger relaxante, il laisse la peau propre, douce et délicatement parfumée.",,,0,/s/a/savon_noir.jpg,,,,,,,,,"Use config","Use config","Savon noir Argan fleur d'oranger",,,"Block after Info Column",,14.9500,0,"Un soin très doux
Pour exfolier et purifier la peau
Subtil parfum de fleur d'oranger",/s/a/savon_noir.jpg,,,,,1,0,/s/a/savon_noir.jpg,,"2013-12-21 21:21:25",savon-noir-argan-fleur-d-oranger,savon-noir-argan-fleur-d-oranger.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/s/a/savon_noir.jpg,,1,0,,,,
,,,,"Tout pour un bain relaxant/Crème de douche et de bain, savon noir","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Default,simple,"Tout pour un bain relaxant","Default Category",base,,,,"2013-12-21 21:23:27",,,,,"Le gant de Kassat est l'accessoire indispensable pour le gommage du corps. Dans les hammams, il est utilisé après l'application du savon noir afin d'aider à exfolier la peau en douceur. Une fois débarassé des peaux mortes, l'épiderme retrouve toute sa beauté et toute sa douceur.",,,0,/g/a/gant-kassat-15120140-55371.jpg,,,,,,,,,"Use config","Use config","Gant Kassat",,,"Block after Info Column",,5.9500,0,"Un gant spécial pour le gommage
 Un rituel pour prendre soin de la peau",/g/a/gant-kassat-15120140-55371.jpg,,,,,1,0,/g/a/gant-kassat-15120140-55371.jpg,,"2013-12-21 21:30:57",gant-kassat,gant-kassat.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/g/a/gant-kassat-15120140-55371.jpg,,1,0,,,,
,,,,"Tout pour un bain relaxant/Accessoires","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Default,simple,"Tout pour un bain relaxant","Default Category",base,,,,"2013-12-21 21:26:02",,,,,"Rien de mieux pour se détendre tout en prenant soin de sa peau qu'un gommage régulier. Grâce à ce gant de gommage, vous profitez en toute simplicité de votre savon noir préféré. L'une de ses faces (poils boucles) sert à accentuer l'action gommante de votre soin sans agresser la peau ; la deuxième face, plus douce, sert à faciliter le rinçage.",,,0,/1/5/15137860-1.jpg,,,,,,,,,"Use config","Use config","Gant de gommage",,,"Block after Info Column",,4.9500,0,"Le gant parfait pour compléter votre soin
Une face pour un gommage tout en douceur
Une face pour faciliter le rinçage",/1/5/15137860-1.jpg,,,,,1,0,/1/5/15137860-1.jpg,,"2013-12-21 21:26:02",gant-de-gommage,gant-de-gommage.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/1/5/15137860-1.jpg,,1,0,,,,
,,,,"Tout pour un bain relaxant/Accessoires","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Default,simple,"Tout pour un bain relaxant","Default Category",base,,,,"2013-12-21 21:28:50",,,,,"Cet oreiller moelleux et déhoussable s'accrochera facilement dans votre baignoire grâce à ses ventouses. Ainsi, il sera placé idéalement pour le confort de la tête et de la nuque. Quel délice ce bain de détente !
Oreiller déhoussable.

Housse en coton.

Oreiller en polyester.

H. 10 cm - L. 20 cm
Garantie : 2 ans",,,0,/2/2/225.jpg,,,,,,,,,"Use config","Use config","Oreiller de bain",,,"Block after Info Column",,15.9500,0,"S’accroche à la baignoire grâce aux ventouses
Moelleux avec sa housse en coton
Déhoussable pour un nettoyage ultra-simple",/2/2/225.jpg,,,,,1,0,/2/2/225.jpg,,"2013-12-21 21:28:50",oreiller-de-bain,oreiller-de-bain.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/2/2/225.jpg,,1,0,,,,
,,,,"Tout pour un bain relaxant/Accessoires","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
